City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
480,Timaru,NZ,-46.6,168.3333,40.8,72,100,6.96,overcast clouds
481,Teahupoo,PF,-9.8,-139.0333,77.74,74,8,15.12,clear sky
482,Aden,YE,12.7794,45.0367,83.05,72,100,13.24,overcast clouds
483,Santiago De Cuba,CU,22.5206,-79.4669,84.04,73,8,15.12,clear sky
484,Luanda,AO,-12.3833,16.9333,54.88,42,8,0.34,clear sky
485,Havre,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
486,Sharanga,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
487,Grafton,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
488,Lisakovsk,KZ,51.1,66.3167,68.81,63,71,6.73,broken clouds
489,Sistranda,NO,60.9242,9.4159,64.11,76,100,2.35,overcast clouds
490,Piney Green,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
491,Urdzhar,KZ,51.1,66.3167,68.81,63,71,6.73,broken clouds
492,Richards Bay,ZA,-33.5906,26.891,56.17,97,100,1.99,overcast clouds
493,Merauke,ID,-8.345,113.6058,71.04,90,6,3.83,clear sky
494,Letka,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
495,Abu Dhabi,AE,24.4667,54.3667,95.02,68,0,3.44,clear sky
496,Ventspils,LV,57.3894,21.5606,55.33,100,48,0.0,fog
497,Kingskettle,GB,50.1544,-5.0711,61.7,82,75,4.61,broken clouds
498,Roald,NO,60.9242,9.4159,64.11,76,100,2.35,overcast clouds
499,Smolenka,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
500,Wuhan,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
501,Santo Domingo Xenacoj,GT,14.5094,-92.1933,85.01,72,100,7.52,overcast clouds
502,Palabuhanratu,ID,-8.345,113.6058,71.04,90,6,3.83,clear sky
503,Kaeo,NZ,-46.6,168.3333,40.8,72,100,6.96,overcast clouds
504,Shaunavon,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
505,Coihaique,CL,-41.8697,-73.8203,40.23,67,77,11.48,broken clouds
506,Imbituba,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
507,Saint-Francois,FR,46.4154,3.9054,65.64,77,0,2.3,clear sky
508,Sansai,TH,7.9178,98.3332,85.75,83,100,14.79,overcast clouds
509,Sibolga,ID,-8.345,113.6058,71.04,90,6,3.83,clear sky
510,Bhera,PK,32.2792,71.5539,97.95,40,7,8.03,clear sky
511,Challapata,CO,6.3463,-75.5089,81.03,53,40,13.8,scattered clouds
512,Tawang,IN,24.5167,86.65,82.58,77,100,4.23,overcast clouds
513,Ondjiva,AO,-12.3833,16.9333,54.88,42,8,0.34,clear sky
514,Mont-Dore,NC,-22.6667,167.4833,73.89,88,98,10.2,overcast clouds
515,Minsk,BY,53.9,27.5667,55.15,81,1,11.3,clear sky
516,Lensk,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
517,Trairi,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
518,Novaya Ladoga,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
519,Taoudenni,ML,22.6783,-3.9836,94.84,34,55,17.54,broken clouds
520,Oistins,BB,13.0667,-59.5333,84.29,79,40,16.11,scattered clouds
521,Porbandar,IN,24.5167,86.65,82.58,77,100,4.23,overcast clouds
522,Palu,ID,-8.345,113.6058,71.04,90,6,3.83,clear sky
523,Magistralnyy,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
524,Ust-Kamchatsk,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
525,San Alberto,CO,3.8653,-67.9239,77.47,93,72,2.35,broken clouds
526,Neiafu,TO,-21.2,-175.2,77.16,83,40,9.22,scattered clouds
527,Ossora,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
528,Sovetskiy,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
529,Waipawa,NZ,-46.6,168.3333,40.8,72,100,6.96,overcast clouds
530,Edd,ER,13.9297,41.6925,91.47,47,100,5.44,overcast clouds
531,Strezhevoy,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
532,North Platte,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
533,Lompoc,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
534,Pachino,IT,41.7839,15.4437,75.78,46,0,2.82,clear sky
535,Yongan,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
536,Keti Bandar,PK,32.2792,71.5539,97.95,40,7,8.03,clear sky
537,Jiwani,PK,32.2792,71.5539,97.95,40,7,8.03,clear sky
538,Plainview,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
539,Camopi,GF,4.9333,-52.3333,82.44,1,40,8.05,scattered clouds
540,Saryshagan,KZ,51.1,66.3167,68.81,63,71,6.73,broken clouds
541,Cheuskiny,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
542,Labuan,MY,5.3302,103.1408,76.95,100,40,8.05,thunderstorm with rain
543,Guozhen,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
544,Ayorou,NE,18.6853,12.9164,92.82,17,73,2.86,broken clouds
545,Le Vauclin,MQ,14.5452,-60.8388,79.84,94,28,3.44,scattered clouds
546,Iralaya,HN,15.0,-83.2333,82.62,75,84,8.84,broken clouds
547,Giovinazzo,IT,41.7839,15.4437,75.78,46,0,2.82,clear sky
548,Sergeyevka,KZ,51.1,66.3167,68.81,63,71,6.73,broken clouds
549,Ulaangom,MN,47.9077,106.8832,57.33,77,75,4.47,broken clouds
550,Gori,GE,41.9842,44.1158,63.32,92,46,7.83,scattered clouds
551,Uttarkashi,IN,24.5167,86.65,82.58,77,100,4.23,overcast clouds
552,Filingue,NE,18.6853,12.9164,92.82,17,73,2.86,broken clouds
553,Camacha,PT,32.6667,-17.1,73.71,81,5,7.23,clear sky
554,Nata,BW,-19.9833,23.4167,66.16,52,0,5.75,clear sky
555,Beidao,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
556,Umm Kaddadah,SD,13.6017,26.6876,84.49,48,44,9.42,light rain
557,Talnakh,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
558,Ajaccio,FR,44.5875,-1.0519,68.32,82,0,2.3,mist
559,Colares,PT,32.6667,-17.1,73.71,81,5,7.23,clear sky
560,Kodar,IN,24.5167,86.65,82.58,77,100,4.23,overcast clouds
561,San Jose,GT,14.5094,-92.1933,85.01,72,100,7.52,overcast clouds
562,Hammerfest,NO,60.9242,9.4159,64.11,76,100,2.35,overcast clouds
563,San Rafael,AR,-54.8,-68.3,31.66,86,100,21.85,snow
564,Breasta,RO,44.95,27.2167,74.28,35,19,7.25,few clouds
565,Lapinig,ID,-3.7508,103.6372,71.1,98,37,1.88,scattered clouds
566,Morris,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
567,Kasongo-Lunda,CD,-0.2167,20.8667,75.0,81,57,1.59,broken clouds
568,Gotsu,JP,35.1333,140.3,78.82,82,64,9.1,broken clouds
569,Shorewood,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
570,Udachnyy,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
571,Kargasok,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
572,Marienburg,SR,4.75,-55.1667,79.47,82,67,7.9,light rain
573,Paragominas,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
574,Naze,JP,35.1333,140.3,78.82,82,64,9.1,broken clouds
575,Heyang,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
576,Caluquembe,AO,-12.3833,16.9333,54.88,42,8,0.34,clear sky
577,Kemin,KG,42.7846,75.6892,68.0,35,0,6.78,clear sky
578,Iseyin,NG,11.8464,13.1603,74.07,76,72,1.77,broken clouds
579,Margate,ZA,-33.5906,26.891,56.17,97,100,1.99,overcast clouds
580,Port Augusta,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
581,Karaul,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
582,Balimo,PG,-2.0226,147.2712,81.1,77,96,3.47,overcast clouds
583,Shakawe,BW,-19.9833,23.4167,66.16,52,0,5.75,clear sky
584,Mumbwa,ZM,-14.9783,27.0619,65.21,54,83,7.27,broken clouds
585,Olafsvik,IS,66.0449,-17.3389,45.7,90,100,5.68,overcast clouds
586,Warri,NG,11.8464,13.1603,74.07,76,72,1.77,broken clouds
587,Alta Floresta,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
588,Santiago,PE,-15.6383,-71.6011,55.87,28,34,4.0,scattered clouds
589,Santa Maria Da Vitoria,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
590,Chifeng,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
591,Teya,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
592,Quatre Cocos,MU,-20.0064,57.6608,68.4,75,94,10.0,light rain
593,Tabou,CI,5.2863,-3.304,72.72,79,23,7.31,few clouds
594,Yenagoa,NG,11.8464,13.1603,74.07,76,72,1.77,broken clouds
595,Whitianga,NZ,-46.6,168.3333,40.8,72,100,6.96,overcast clouds
596,Pallasovka,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
597,Kuantan,MY,5.3302,103.1408,76.95,100,40,8.05,thunderstorm with rain
598,Formoso Do Araguaia,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
599,Zhob,PK,32.2792,71.5539,97.95,40,7,8.03,clear sky
600,Salinas,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
601,Ijaki,KI,3.0707,172.7902,81.28,78,70,7.76,light rain
602,Poum,NC,-22.6667,167.4833,73.89,88,98,10.2,overcast clouds
603,Dembi Dolo,ET,6.9833,35.5833,60.35,97,100,2.66,overcast clouds
604,Briancon,FR,44.5875,-1.0519,68.32,82,0,2.3,mist
605,Acapulco,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
606,Torbay,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
607,Kalanguy,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
608,Shimanovsk,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
609,Port Antonio,JM,18.18,-76.4612,91.0,64,29,13.4,scattered clouds
610,Mongoumba,CF,8.0777,22.4007,67.69,97,44,1.41,light rain
611,Ingham,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
612,Orzhytsya,UA,50.9578,31.9209,54.41,80,28,9.89,scattered clouds
613,Bathsheba,BB,13.0667,-59.5333,84.29,79,40,16.11,scattered clouds
614,Necochea,AR,-54.8,-68.3,31.66,86,100,21.85,snow
615,Saurimo,AO,-12.3833,16.9333,54.88,42,8,0.34,clear sky
616,Lufilufi,WS,-13.8745,-171.5986,83.98,77,34,24.9,light rain
617,Balabac,ID,-3.7508,103.6372,71.1,98,37,1.88,scattered clouds
618,Sande,NO,60.9242,9.4159,64.11,76,100,2.35,overcast clouds
619,Cap Malheureux,MU,-20.0064,57.6608,68.4,75,94,10.0,light rain
620,Mkushi,ZM,-14.9783,27.0619,65.21,54,83,7.27,broken clouds
621,Melilla,ES,38.5382,-0.131,81.48,71,0,7.74,clear sky
622,Nchelenge,ZM,-14.9783,27.0619,65.21,54,83,7.27,broken clouds
623,Minas,UY,-33.6971,-53.4616,55.89,95,2,6.49,clear sky
624,Bagan,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
625,Saint-Augustin,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
626,Sobolevo,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
627,Guatire,VE,11.0333,-63.8628,81.45,76,11,11.68,few clouds
628,Sorvag,FO,62.2266,-6.589,49.12,91,98,18.7,overcast clouds
629,Farafangana,MG,-14.2667,50.1667,69.03,83,42,13.35,light rain
630,Florianopolis,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
631,Upata,VE,11.0333,-63.8628,81.45,76,11,11.68,few clouds
632,Velka Bites,CZ,49.4783,15.6499,73.62,57,52,6.71,broken clouds
633,Malakal,SD,13.6017,26.6876,84.49,48,44,9.42,light rain
634,Colombo,LK,6.1241,81.1185,77.34,100,20,4.61,few clouds
635,Albanel,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
636,Changying,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
637,Sao Gabriel Da Cachoeira,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
638,Comodoro Rivadavia,AR,-54.8,-68.3,31.66,86,100,21.85,snow
639,Dickinson,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
640,Nguiu,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
641,Buriti Alegre,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
642,Antofagasta,CL,-41.8697,-73.8203,40.23,67,77,11.48,broken clouds
643,Lindenhurst,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
644,Prince Rupert,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
645,Pampas,PE,-15.6383,-71.6011,55.87,28,34,4.0,scattered clouds
646,Roebourne,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
647,Opuwo,NA,-26.6481,15.1594,56.61,61,3,16.51,clear sky
648,Milingimbi,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
649,Vallentuna,SE,59.5344,18.0776,69.84,76,0,9.22,clear sky
650,Remanso,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
651,Buchanan,LR,5.8808,-10.0467,74.3,82,98,10.87,overcast clouds
652,Mingaora,PK,32.2792,71.5539,97.95,40,7,8.03,clear sky
653,The Valley,AI,18.217,-63.0578,84.34,74,20,17.27,few clouds
654,Erenhot,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
655,Ketchikan,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
656,Petropavlovka,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
657,Lundazi,ZM,-14.9783,27.0619,65.21,54,83,7.27,broken clouds
658,Mar Del Plata,AR,-54.8,-68.3,31.66,86,100,21.85,snow
659,Sug-Aksy,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
660,Lingyuan,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
661,Churapcha,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
662,Anzhero-Sudzhensk,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
663,Onalaska,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
664,Pushkino,RU,56.0172,37.8667,57.49,96,100,4.81,light rain
665,Puerto Quijarro,CO,6.3463,-75.5089,81.03,53,40,13.8,scattered clouds
666,Mananara,MG,-14.2667,50.1667,69.03,83,42,13.35,light rain
667,Benalla,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
668,Vyssi Brod,CZ,49.4783,15.6499,73.62,57,52,6.71,broken clouds
669,Mareeba,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
670,Mbekenyera,TZ,-9.7667,37.9333,62.76,84,55,1.95,broken clouds
671,Yako,BF,12.9667,-2.2667,79.9,70,81,10.13,broken clouds
672,Safaga,EG,31.3525,27.2453,77.2,73,0,6.91,clear sky
673,Noumea,NC,-22.6667,167.4833,73.89,88,98,10.2,overcast clouds
674,Aklavik,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
675,Buala,PT,40.1629,-8.3327,60.6,89,0,1.63,clear sky
676,Erzin,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
677,Krasnyy Chikoy,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
678,Nizhniy Odes,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
679,Khani,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
680,Altay,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
681,Simplicio Mendes,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
682,High Rock,BS,26.6208,-78.2833,89.62,69,1,9.51,clear sky
683,Xixiang,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
684,Victoria,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
685,Vanimo,PG,-2.0226,147.2712,81.1,77,96,3.47,overcast clouds
686,Bulgan,MN,47.9077,106.8832,57.33,77,75,4.47,broken clouds
687,Dayong,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
688,Jasidih,IN,24.5167,86.65,82.58,77,100,4.23,overcast clouds
689,Byron Bay,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
690,Utiroa,KI,3.0707,172.7902,81.28,78,70,7.76,light rain
691,Bambanglipuro,ID,-8.345,113.6058,71.04,90,6,3.83,clear sky
692,Marystown,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
693,Narrabri,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
694,Magadan,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
695,Karoi,ZW,-20.3267,30.0665,62.13,66,97,1.16,light rain
696,Raton,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
697,Umm Lajj,PH,17.4189,121.4443,75.74,91,78,1.54,broken clouds
698,Missoula,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
699,Akhtubinsk,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
700,Langxiang,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
701,Neijiang,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
702,Great Yarmouth,GB,50.1544,-5.0711,61.7,82,75,4.61,broken clouds
703,Egvekinot,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
704,Llodio,ES,38.5382,-0.131,81.48,71,0,7.74,clear sky
705,Arlit,NE,18.6853,12.9164,92.82,17,73,2.86,broken clouds
706,Nachalovo,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
707,General Roca,AR,-54.8,-68.3,31.66,86,100,21.85,snow
708,Malatya,TR,36.3703,30.2869,83.17,42,0,6.46,clear sky
709,Mayo,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
710,Takaka,NZ,-46.6,168.3333,40.8,72,100,6.96,overcast clouds
711,Saint-Honore,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
712,Porto Walter,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
713,Parakou,BJ,9.3372,2.6303,74.12,76,97,5.75,overcast clouds
714,Caucaia,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
715,Madera,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
716,Emerald,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
717,Changde,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
718,Gorodishche,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
719,Luganville,VU,-19.55,169.2667,80.71,89,40,4.61,scattered clouds
720,Lolua,RO,46.4333,26.4,70.72,61,19,5.55,few clouds
721,Madruga,CU,22.5206,-79.4669,84.04,73,8,15.12,clear sky
722,Gravdal,NO,60.9242,9.4159,64.11,76,100,2.35,overcast clouds
723,La Ronge,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
